Benchmark,Method,Silhouette,Davies-Bouldin,Calinski-Harabasz,Inertia,Noise Points
tpcds,Vector,0.617927074432373,0.4143383905669696,6457.879437892683,2.4550269,16
tpcds,Fasttext,0.9068890810012817,0.13047685515071653,9603.512713883008,295.56284,0
tpcds,Word2Vec,0.9350380897521973,0.09561863675599434,21506.17022487711,207.60632,0
tpcds,Tfidf,0.8694895505905151,0.18172377797128705,5213.35533887604,250.38892,0
tpcds,Sentence Transformer,0.5915473699569702,0.4238677565806239,1317.76061717756,3.601008,19
ssb,Vector,0.6453526616096497,0.3785818162235311,34106.9688533916,1.5065705,43
ssb,Fasttext,0.9668556451797485,0.04691299727766653,139356.24797019604,2361.5288,0
ssb,Word2Vec,0.49774736166000366,0.5106290311852341,290277.1728296207,2.61504,61
ssb,Tfidf,0.9759321808815002,0.035544135383575225,341500.07585572626,520.4069,0
ssb,Sentence Transformer,0.9817519783973694,0.027112814533725903,577218.1094726741,766.6228,0
job,Vector,0.6464617848396301,0.40077468398167304,3842.06942404276,1.8474777,9
job,Fasttext,0.6416751146316528,0.39032472311941807,12215.343355202485,1.7450163,15
job,Word2Vec,0.5204402804374695,0.500562704057097,20595.627342876716,1.6866136,28
job,Tfidf,0.569742739200592,0.4467066862260825,18958.219293900034,1.3793178,26
job,Sentence Transformer,0.6558123230934143,0.3570280369956553,3160.3928395788125,1.5524633,33
tpch,Vector,0.6572137475013733,0.3642453086331109,6275.172974456793,1.7243608,20
tpch,Fasttext,0.9854855537414551,0.021272374506214223,486784.34405299404,242.22925,0
tpch,Word2Vec,0.9646914005279541,0.052526277954097575,80002.2152729992,421.4078,0
tpch,Tfidf,0.9897422790527344,0.01462202276606798,995885.3363506243,176.93784,0
tpch,Sentence Transformer,0.608730673789978,0.4031003393754778,2975.827754984875,2.5346885,21
