benchmark,best_latency,db,default_latency,performance_improvement,result
job,1.59,postgres,10.369,84.66,E2ETune++
job,1.569,postgres,9.766,83.93,E2ETune-Base
ssb,2.719,postgres,3.726,27.02,E2ETune++
ssb,2.738,postgres,2.885,5.11,E2ETune-Base
ssb_flat,5.288,postgres,8.895,40.56,E2ETune++
ssb_flat,5.3,postgres,5.252,-0.92,E2ETune-Base
tpch,3.985,postgres,5.63,29.22,E2ETune++
tpch,4.015,postgres,5.526,27.34,E2ETune-Base
tpcds,8.57,postgres,10.965,21.84,E2ETune++
tpcds,8.583,postgres,9.017,4.82,E2ETune-Base
job,28.567,mysql,47.105,39.35,E2ETune++
ssb,2.157,mysql,7.087,69.56,E2ETune++
ssb_flat,4.811,mysql,8.062,40.32,E2ETune++
tpch,7.777,mysql,14.803,47.46,E2ETune++
tpcds,5.026,mysql,6.899,27.15,E2ETune++
job,4.452,postgres-16,22.357,80.09,E2ETune++
ssb,6.75,postgres-16,7.765,13.07,E2ETune++
ssb_flat,28.965,postgres-16,36.616,23.24,E2ETune++
tpch,8.261,postgres-16,9.667,14.55,E2ETune++
tpcds,2.329,postgres-16,2.612,10.81,E2ETune++
job,30.216,mysql-16,50.105,39.7,E2ETune++
ssb,2.699,mysql-16,6.343,57.44,E2ETune++
ssb_flat,5.09,mysql-16,6.7,24.03,E2ETune++
tpch,7.619,mysql-16,13.799,44.78,E2ETune++
tpcds,5.062,mysql-16,6.618,23.51,E2ETune++
