feature_set,target,model,r2,mae,rmse,spearman
baseline(cfg+metrics),y_norm,RandomForest,-0.23025417342102883,0.2066499751742498,0.24359694801967677,0.30914762167426313
baseline(cfg+metrics),y_norm,GradientBoosting,0.2621962745250819,0.15867347041103735,0.18864480124506147,0.49364092571786883
baseline(cfg+metrics),y_norm,VotingRegressor,0.06405402405714788,0.18138709280776782,0.21247107245307525,0.42020846764765146
baseline(cfg+metrics),y_log,RandomForest,-0.26659607636460536,0.5202524593167678,0.5998359806391345,0.24650668638429113
baseline(cfg+metrics),y_log,GradientBoosting,0.1609052694705998,0.4259951704092458,0.48822379330221044,0.5830363680431198
baseline(cfg+metrics),y_log,VotingRegressor,0.15230790127398064,0.41743374974735775,0.4907185906985775,0.42279851464669443
+workload,y_norm,RandomForest,-0.2065896972319876,0.20694046916630623,0.24124272509332095,0.392671995710683
+workload,y_norm,GradientBoosting,0.17243754385522958,0.16712774902147717,0.19979048872806904,0.40448901272706855
+workload,y_norm,VotingRegressor,0.03774090968218102,0.18449921322316526,0.2154370683319332,0.43170676558025173
+workload,y_log,RandomForest,-0.49801414676019085,0.5642119644125123,0.6523360824417974,-0.03495048482057896
+workload,y_log,GradientBoosting,0.12312340753171092,0.4166043323591788,0.49909438319902505,0.33333372675025386
+workload,y_log,VotingRegressor,-0.07601911631752123,0.45642023360899114,0.5528705251752184,0.11988096296114402
+plans,y_norm,RandomForest,0.09723705940196137,0.17302440339956823,0.2086706075785366,0.24882564598721998
+plans,y_norm,GradientBoosting,0.23280735929907004,0.15701020696923706,0.192365255387411,0.35351956593153483
+plans,y_norm,VotingRegressor,0.19186896911675444,0.16383285725230678,0.19743098440468604,0.3092539295075553
+plans,y_log,RandomForest,0.808924554325963,0.18744436578649476,0.23297852125948226,0.7648541045495295
+plans,y_log,GradientBoosting,0.7986482127313558,0.20187884459917116,0.23916145575214962,0.8133095704699742
+plans,y_log,VotingRegressor,0.8207418428103892,0.18788054932206646,0.22565912901468044,0.8007991987343664
+workload+plans,y_norm,RandomForest,0.09855705476567522,0.17208212185555932,0.20851799553466743,0.2616613947120518
+workload+plans,y_norm,GradientBoosting,0.25885075385031386,0.15413779473234795,0.18907201599159848,0.36919691847676317
+workload+plans,y_norm,VotingRegressor,0.2037735807518689,0.16170365333523076,0.1959714071907267,0.31911369119678545
+workload+plans,y_log,RandomForest,0.8191957734976114,0.1820577589341273,0.2266301744048951,0.7719952958701619
+workload+plans,y_log,GradientBoosting,0.75365577384948,0.23348970306417505,0.2645359118452768,0.7788180117714992
+workload+plans,y_log,VotingRegressor,0.8102182045482333,0.1981052412287556,0.23218850718010353,0.7822623250860201
